latitude,longitude,km
-34.60863228,-58.41494038,742
-34.60863238,-58.41495129,743
-34.60863249,-58.4149622,744
-34.60863261,-58.41497311,745
-34.60863275,-58.41498401,746
-34.60863294,-58.41499491,747
-34.60863312,-58.41500581,748
-34.60863332,-58.41501672,749
-34.60863354,-58.41502763,750
-34.60863378,-58.41503855,751
-34.60863403,-58.41504946,752
-34.60863429,-58.41506038,753
-34.60863456,-58.41507128,754
-34.60863485,-58.41508218,755
-34.60863517,-58.41509308,756
-34.6086355,-58.41510399,757
-34.60863584,-58.41511491,758
-34.60863619,-58.41512583,759
-34.60863655,-58.41513675,760
-34.60863695,-58.41514765,761
-34.60863736,-58.41515855,762
-34.60863777,-58.41516944,763
-34.6086382,-58.41518033,764
-34.60863864,-58.41519123,765
-34.60863908,-58.41520213,766
-34.60863953,-58.41521303,767
-34.60864,-58.41522393,768
-34.60864048,-58.41523482,769
-34.60864097,-58.4152457,770
-34.60864146,-58.41525658,771
-34.60864197,-58.41526746,772
-34.6086425,-58.41527834,773
-34.60864304,-58.41528922,774
-34.60864358,-58.4153001,775
-34.60864412,-58.41531099,776
-34.60864467,-58.41532187,777
-34.60864523,-58.41533275,778
-34.60864581,-58.41534363,779
-34.60864638,-58.41535451,780
-34.60864693,-58.41536539,781
-34.60864752,-58.41537628,782
-34.60864811,-58.41538716,783
-34.6086487,-58.41539804,784
-34.60864927,-58.41540892,785
-34.6086499,-58.4154198,786
-34.60865066,-58.41543066,787
-34.60865145,-58.41544152,788
-34.60865212,-58.41545238,789
-34.60865271,-58.41546325,790
-34.60865335,-58.41547412,791
-34.60865401,-58.41548499,792
-34.60865465,-58.41549588,793
-34.60865524,-58.41550676,794
-34.60865583,-58.41551765,795
-34.60865645,-58.41552853,796
-34.60865707,-58.41553941,797
-34.60865767,-58.41555029,798
-34.60865827,-58.41556117,799
-34.60865889,-58.41557205,800
-34.6086595,-58.41558294,801
-34.60866011,-58.41559383,802
-34.60866073,-58.41560472,803
-34.60866135,-58.4156156,804
-34.60866197,-58.41562647,805
-34.60866259,-58.41563734,806
-34.60866321,-58.41564821,807
-34.60866383,-58.41565909,808
-34.60866447,-58.41566996,809
-34.6086651,-58.41568084,810
-34.60866574,-58.41569171,811
-34.60866638,-58.41570259,812
-34.60866701,-58.41571347,813
-34.60866765,-58.41572434,814
-34.60866828,-58.41573521,815
-34.60866891,-58.41574608,816
-34.60866952,-58.41575696,817
-34.60867014,-58.41576783,818
-34.60867075,-58.41577871,819
-34.60867136,-58.41578959,820
-34.60867196,-58.41580047,821
-34.60867256,-58.41581135,822
-34.60867316,-58.41582222,823
-34.60867375,-58.4158331,824
-34.60867435,-58.41584397,825
-34.60867494,-58.41585485,826
-34.60867553,-58.41586573,827
-34.60867611,-58.41587661,828
-34.60867669,-58.4158875,829
-34.60867727,-58.41589838,830
-34.60867784,-58.41590927,831
-34.60867843,-58.41592015,832
-34.60867901,-58.41593103,833
-34.6086796,-58.41594191,834
-34.60868021,-58.4159528,835
-34.60868081,-58.41596369,836
-34.60868142,-58.41597457,837
-34.60868209,-58.41598545,838
-34.60868284,-58.41599632,839
-34.60868362,-58.41600718,840
-34.60868438,-58.41601804,841
-34.6086851,-58.4160289,842
-34.6086858,-58.41603978,843
-34.60868647,-58.41605065,844
-34.60868712,-58.41606153,845
-34.60868775,-58.4160724,846
-34.60868846,-58.41608327,847
-34.60868938,-58.41609411,848
-34.6086904,-58.41610494,849
-34.60869127,-58.4161158,850
-34.608692,-58.41612667,851
-34.60869269,-58.41613754,852
-34.6086934,-58.41614842,853
-34.60869411,-58.41615929,854
-34.60869481,-58.41617017,855
-34.6086955,-58.41618104,856
-34.6086962,-58.41619191,857
-34.60869692,-58.41620279,858
-34.60869765,-58.41621367,859
-34.60869836,-58.41622455,860
-34.60869907,-58.41623542,861
-34.60869977,-58.41624629,862
-34.60870047,-58.41625716,863
-34.60870118,-58.41626803,864
-34.60870188,-58.4162789,865
-34.60870259,-58.41628977,866
-34.6087033,-58.41630064,867
-34.60870402,-58.41631151,868
-34.60870474,-58.41632238,869
-34.60870545,-58.41633325,870
-34.60870615,-58.41634412,871
-34.60870685,-58.41635498,872
-34.60870756,-58.41636586,873
-34.60870827,-58.41637673,874
-34.60870897,-58.4163876,875
-34.60870969,-58.41639847,876
-34.60871041,-58.41640934,877
-34.60871112,-58.41642021,878
-34.60871183,-58.41643108,879
-34.60871253,-58.41644195,880
-34.60871324,-58.41645282,881
-34.60871394,-58.41646368,882
-34.60871464,-58.41647455,883
-34.60871534,-58.41648542,884
-34.60871603,-58.41649629,885
-34.60871672,-58.41650716,886
-34.60871742,-58.41651804,887
-34.60871811,-58.41652891,888
-34.60871881,-58.41653978,889
